Real(s);User(s);Sys(s);CPU_Usage
48.43;0.01;17.77;36%
47.76;0.01;16.00;33%
48.04;0.01;16.22;33%
46.85;0.02;15.81;33%
48.03;0.01;15.62;32%
45.95;0.02;14.58;31%
47.48;0.02;15.33;32%
46.34;0.02;15.77;34%
46.74;0.02;14.60;31%
47.27;0.01;13.89;29%
46.15;0.02;13.77;29%
46.13;0.01;14.67;31%
47.07;0.01;15.00;31%
46.76;0.01;14.48;31%
47.53;0.03;14.49;30%
48.45;0.01;14.08;29%
46.40;0.03;13.99;30%
46.01;0.01;15.63;34%
44.78;0.01;14.83;33%
46.01;0.01;14.75;32%
46.36;0.02;14.32;30%
48.01;0.01;14.33;29%
47.56;0.01;15.47;32%
46.67;0.01;14.72;31%
45.52;0.01;14.46;31%
45.20;0.02;14.29;31%
45.47;0.01;14.21;31%
46.15;0.02;14.97;32%
45.34;0.02;14.70;32%
47.34;0.01;14.45;30%
46.30;0.02;15.16;32%
46.81;0.01;14.35;30%
46.24;0.02;13.98;30%
48.09;0.01;14.20;29%
47.48;0.02;14.23;30%
45.59;0.02;15.45;33%
45.33;0.02;14.88;32%
45.76;0.01;14.40;31%
46.67;0.02;14.15;30%
46.73;0.02;14.40;30%
47.55;0.02;14.62;30%
47.60;0.01;15.33;32%
45.34;0.01;14.47;31%
46.38;0.01;14.26;30%
45.86;0.01;14.33;31%
45.84;0.01;14.47;31%
46.99;0.02;15.49;33%
46.64;0.02;14.97;32%
48.25;0.01;13.90;28%
48.24;0.01;14.05;29%
