Real(s);User(s);Sys(s);CPU_Usage
25.96;0.10;6.84;26%
19.43;0.09;4.87;25%
19.45;0.09;4.86;25%
18.88;0.08;4.72;25%
18.88;0.08;4.73;25%
19.20;0.09;4.85;25%
19.23;0.09;4.97;26%
19.15;0.08;4.83;25%
19.15;0.10;4.85;25%
18.84;0.09;4.69;25%
18.75;0.07;4.70;25%
19.21;0.09;4.72;25%
19.46;0.07;4.97;25%
19.04;0.08;5.03;26%
19.30;0.09;5.05;26%
19.53;0.09;5.07;26%
19.19;0.10;4.92;26%
19.22;0.07;4.90;25%
19.29;0.08;4.89;25%
18.88;0.08;5.10;27%
18.99;0.08;5.00;26%
19.09;0.07;4.95;26%
19.12;0.07;5.06;26%
18.72;0.08;5.02;27%
18.85;0.07;5.12;27%
18.86;0.09;4.86;26%
18.96;0.08;4.89;26%
19.10;0.07;4.84;25%
19.12;0.10;4.84;25%
18.53;0.08;4.85;26%
19.00;0.09;4.93;26%
18.99;0.08;4.94;26%
18.82;0.08;4.83;26%
19.06;0.08;4.97;26%
18.91;0.08;4.83;25%
18.85;0.07;4.84;26%
18.75;0.11;4.68;25%
19.14;0.07;4.82;25%
19.10;0.09;4.81;25%
18.68;0.09;4.65;25%
19.40;0.11;4.97;26%
19.06;0.08;4.83;25%
18.55;0.09;4.87;26%
19.05;0.09;4.84;25%
19.35;0.09;4.86;25%
18.76;0.08;4.83;26%
18.85;0.10;4.72;25%
19.05;0.09;4.73;25%
18.88;0.07;4.76;25%
18.71;0.08;4.71;25%
