Real(s);User(s);Sys(s);CPU_Usage
17.66;0.03;12.22;69%
44.25;0.04;16.19;36%
42.33;0.03;15.95;37%
41.13;0.04;16.14;39%
41.29;0.05;17.09;41%
42.57;0.05;16.68;39%
40.50;0.05;15.92;39%
39.30;0.05;15.87;40%
39.35;0.04;16.05;40%
39.40;0.04;15.82;40%
39.28;0.04;17.03;43%
38.95;0.04;16.22;41%
39.36;0.04;15.86;40%
39.76;0.05;17.53;44%
38.72;0.04;15.85;41%
38.53;0.04;15.29;39%
38.82;0.04;16.81;43%
38.45;0.04;15.94;41%
38.20;0.05;15.79;41%
38.67;0.04;16.03;41%
38.57;0.03;17.44;45%
37.83;0.03;15.69;41%
38.03;0.05;15.34;40%
38.29;0.05;15.51;40%
38.60;0.05;16.98;44%
38.51;0.05;16.24;42%
38.36;0.05;15.52;40%
38.16;0.04;15.54;40%
38.38;0.04;15.43;40%
39.08;0.04;16.58;42%
38.55;0.04;16.42;42%
38.60;0.05;15.56;40%
38.38;0.03;15.46;40%
38.19;0.04;15.74;41%
39.11;0.04;17.71;45%
38.60;0.03;16.17;41%
37.99;0.04;15.50;40%
38.23;0.02;15.57;40%
37.90;0.03;15.33;40%
38.71;0.04;16.45;42%
38.72;0.03;17.13;44%
38.60;0.04;16.98;44%
38.30;0.04;15.85;41%
38.29;0.04;15.28;40%
