Real(s);User(s);Sys(s);CPU_Usage
48.32;0.02;11.56;23%
28.37;0.02;10.83;38%
31.64;0.04;11.66;37%
28.19;0.03;11.11;39%
25.99;0.03;10.75;41%
27.54;0.03;10.85;39%
27.59;0.02;12.60;45%
26.30;0.03;10.86;41%
26.30;0.04;11.49;43%
25.84;0.03;11.80;45%
25.75;0.03;11.08;43%
25.79;0.03;11.86;46%
25.20;0.02;11.08;44%
23.96;0.02;10.45;43%
24.86;0.02;10.84;43%
23.96;0.03;11.11;46%
24.76;0.03;11.97;48%
24.16;0.03;11.13;46%
24.26;0.03;11.58;47%
23.49;0.03;10.61;45%
23.56;0.02;10.46;44%
23.30;0.02;10.93;47%
23.94;0.03;11.54;48%
23.14;0.02;10.68;46%
23.05;0.02;10.46;45%
22.24;0.02;10.49;47%
22.36;0.03;10.35;46%
22.51;0.02;10.22;45%
22.25;0.03;10.74;48%
22.73;0.03;11.16;49%
22.09;0.02;10.73;48%
21.35;0.04;10.33;48%
21.38;0.02;10.21;47%
21.26;0.03;10.27;48%
21.28;0.03;10.02;47%
21.41;0.03;10.40;48%
21.75;0.03;10.64;49%
22.44;0.02;11.40;50%
21.72;0.02;10.41;48%
20.92;0.02;10.04;48%
21.31;0.02;10.27;48%
20.97;0.02;10.12;48%
20.75;0.03;10.02;48%
20.97;0.03;10.30;49%
21.42;0.03;10.96;51%
21.85;0.03;11.50;52%
20.95;0.04;10.84;51%
21.29;0.02;11.05;51%
20.96;0.02;10.65;50%
20.73;0.01;10.23;49%
